min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
30,0.8,0.75,180,False,-32.144882009168484,374,0.4385026737967914,0.755246309080845,-0.10356706949490213,89.98930481283422,77.0,55,62.333333333333336,119,0.46218487394957986,0.8236318518224695,-0.07110376947285149,91.60504201680672,76.0,18,19.833333333333332,132,0.4393939393939394,0.7562468984220168,-0.10494251427769193,84.23484848484848,73.5,18,22.0,123,0.4146341463414634,0.6928037645854853,-0.13349856535909538,94.60162601626017,81.0,19,20.5
30,1.0,1.0,180,False,-33.027340842007916,374,0.4117647058823529,0.8322274362546643,-0.07781110243263245,134.31283422459893,180.0,55,62.333333333333336,119,0.44537815126050423,0.9206396171563324,-0.03467143907650154,131.12605042016807,180.0,18,19.833333333333332,132,0.42424242424242425,0.8698582206129588,-0.060894066965277174,132.22727272727272,180.0,18,22.0,123,0.36585365853658536,0.7163107859853807,-0.13770271723808344,139.6341463414634,180.0,19,20.5
0,0.5,0.75,180,False,-33.3680529991715,374,0.37967914438502676,0.9080108811314602,-0.028483639256871855,37.64171122994652,28.0,55,62.333333333333336,119,0.4117647058823529,1.0319576711914433,0.009399315056306862,35.36974789915966,25.0,18,19.833333333333332,132,0.3787878787878788,0.9146341463414634,-0.026515151515151516,34.984848484848484,28.0,18,22.0,123,0.34959349593495936,0.7922066017787316,-0.06724715100626497,42.6910569105691,33.0,19,20.5
20,0.6,1.0,180,False,-33.87724026778763,374,0.3663101604278075,0.9495153521159391,-0.01874578140611384,61.96524064171123,47.0,55,62.333333333333336,119,0.40336134453781514,1.0863609880456655,0.030296706403860136,61.747899159663866,48.0,18,19.833333333333332,132,0.3787878787878788,1.0203259925776773,0.007429244592982453,59.5,46.5,18,22.0,123,0.3170731707317073,0.7627418938692019,-0.09428366336763919,64.82113821138212,47.0,19,20.5
20,0.5,0.5,180,False,-34.1680614278326,374,0.42780748663101603,0.7397476758990164,-0.07445721571873062,35.981283422459896,27.0,55,62.333333333333336,119,0.4369747899159664,0.7647318952746422,-0.06623093704453348,36.78991596638655,26.0,18,19.833333333333332,132,0.42424242424242425,0.7368421052631579,-0.07575757575757576,34.43939393939394,28.0,18,22.0,123,0.42276422764227645,0.7192812064646262,-0.08102046480085993,36.853658536585364,29.0,19,20.5
30,0.6,0.5,180,False,-35.52304052166992,374,0.446524064171123,0.6726302786914989,-0.10687598647733332,55.03475935828877,40.0,55,62.333333333333336,119,0.47058823529411764,0.7359806654255188,-0.08325738073037539,55.168067226890756,41.0,18,19.833333333333332,132,0.4393939393939394,0.66120857557343,-0.11151014934641146,54.82575757575758,38.5,18,22.0,123,0.43089430894308944,0.6268919099417771,-0.1247532595274933,55.13008130081301,41.0,19,20.5
30,0.8,1.0,180,False,-35.539795866333826,374,0.3983957219251337,0.8442635815851541,-0.06965156752015289,96.47058823529412,84.0,55,62.333333333333336,119,0.4369747899159664,0.9625569672126819,-0.015608161581925392,97.36134453781513,90.0,18,19.833333333333332,132,0.3939393939393939,0.838495253052046,-0.07398580031284577,90.56818181818181,78.0,18,22.0,123,0.36585365853658536,0.7477627739026395,-0.11728609254465383,101.9430894308943,87.0,19,20.5
40,0.8,0.5,180,False,-37.320065479068205,374,0.48128342245989303,0.5974580062813369,-0.15903580547738316,85.98930481283422,69.5,55,62.333333333333336,119,0.5126050420168067,0.6720493729750432,-0.12208218148711082,86.28571428571429,64.0,18,19.833333333333332,132,0.4621212121212121,0.5553453587063075,-0.18335160518678284,83.87121212121212,69.5,18,22.0,123,0.4715447154471545,0.5768155816863836,-0.1686926810318682,87.97560975609755,75.0,19,20.5
40,1.0,0.5,180,False,-37.53921786867222,374,0.4919786096256685,0.5831882074793912,-0.17179032299496874,121.93850267379679,180.0,55,62.333333333333336,119,0.5210084033613446,0.6436093836184857,-0.1390697438846849,118.39495798319328,178.0,18,19.833333333333332,132,0.48484848484848486,0.5648489943660912,-0.18516821589883237,122.56818181818181,168.5,18,22.0,123,0.4715447154471545,0.54873719886843,-0.189090055115406,124.6910569105691,180.0,19,20.5
10,0.5,0.75,180,False,-39.26625812449295,374,0.3716577540106952,0.8772194472519546,-0.03851037722478629,39.04545454545455,29.0,55,62.333333333333336,119,0.40336134453781514,0.9962962955408595,-0.0011048866243654064,36.705882352941174,25.0,18,19.833333333333332,132,0.3787878787878788,0.9146341463414634,-0.026515151515151516,36.35606060606061,28.0,18,22.0,123,0.3333333333333333,0.736033166313571,-0.08757235425829749,44.19512195121951,33.0,19,20.5
