ticker,trade_date,source_sha256,underlying_rows,required_window_minutes,expected_required_window_minutes,out_of_scope_invalid_rows
SPXW,20230223,90d5686e87a733700bd5907a1d1222f183f5a2337e019333c72eb35aa394e0a4,391,390,390,0
SPXW,20230224,c3bc8ec1f3d5ec5e8bc18ba933206f21d674e1a76aeed18c7d0c3e5c76890cd9,391,390,390,0
SPXW,20230227,1bc09156d2f206fc2857b7c11e89fddd3427733ffb3fa4980ae86f18d0a9db5a,391,390,390,0
SPXW,20230228,0eb44c1f8e8ef8ef0bf220a7b8770240ecfac51de11160bae35bbaa1654109d3,391,390,390,0
SPXW,20230301,e24e8ef79fb39a6f597e09a7eea1ec8851ad1c7e8e3da9bba65e98af883401a9,391,390,390,0
SPXW,20230302,1207d47511025a9f5cade41165755272f154c4ca5d23a57f4c6f3df68a0bfc08,391,390,390,0
SPXW,20230303,38529f37032f9e78cdff8e779373452687076626b1080df45fb33241abed196c,391,390,390,0
SPXW,20230306,4130be48b7738703efde7c988ffa7e23aa280cfaa40c62461a487109eeb8ef42,391,390,390,0
SPXW,20230307,a17de0096a574501b41e020812bcfe8e590310a52718b346d0dd1432929b7a35,391,390,390,0
SPXW,20230308,96d723a326e19c45d47a066dfa5b699a094a3554dbdb88d05bfe8f7bdd428136,391,390,390,0
SPXW,20230309,4ec335b2b95b1fe709eea36cc235ca854df0572fee637d5a4f3d21b14848f8f9,391,390,390,0
SPXW,20230310,0fa1ec30e8bcd26e380e1fc48f59a2c0faff090235d7c39f9122259dcaa89214,391,390,390,0
SPXW,20230313,46358865d7e65ce06930369ff6425925d787444ec64a5f4070fc711f3312e08c,391,390,390,0
SPXW,20230314,f79a71cf682c1797b57517f64de62d188b6602e7517728cd7cd5d551c88bf247,391,390,390,0
SPXW,20230315,65ed0ff7a90f9bf959f0dd3c73ff50d773eb7040f88914b11fac60f3eacf1d42,391,390,390,0
SPXW,20230316,c71a7ec438f1f77cfd98b7de4fbec4ce8af8958b4639c9dd68414d5c53554737,391,390,390,0
SPXW,20230317,b0b6714298c50b357ed523a5958348f64a66a6b4b4336b8ed85d8bc791b3b706,391,390,390,0
SPXW,20230320,c96685cf3bc4ce6ed508841e20b476e2b618852e1204803f3459bae35512e148,391,390,390,0
SPXW,20230321,bf26e6a0e0b22b67ab45603a1a77ca5cb7774b71f9af18ffc717ddea1f3b6432,391,390,390,0
SPXW,20230322,43598bca41e477f8c605cf7fe3d2f7df785223c796ceac54808d5b01455535cb,391,390,390,0
SPXW,20230323,e4e04d65c179574eef52992b26c9a7a9451f8e5f9f19fcf489d9f29617ab678b,391,390,390,0
SPXW,20230324,a05d37b617e28d3645b35e1ed31826e7d5760b0bd15d6a260b17d89815634ea2,391,390,390,0
SPXW,20230327,dd13a36b1cb78f342acf1b177e2e007ce852a8a3daada5bc4aeeca0e325d98eb,391,390,390,0
SPXW,20230328,3ed27636e52054f0f0b394447ce251c94432c9c0dc55ebb2c7cb973a1e7ab1cd,391,390,390,0
SPXW,20230329,8174971ff7cf37ccc1885f6c2ed782289826c54587a756431b7de20fcc7c3593,391,390,390,0
SPXW,20230330,f2a7c1419fa6bfcfd8e8d2d403848c489ee07d040a17373b82caa8a291aaccc5,391,390,390,0
SPXW,20230331,5cc13b0461d272b46f8795154f0b942bee5c017fe2753c9ac98fc5e5a3e7c3de,391,390,390,0
SPXW,20230403,1340d1c6294f112056526d4a4156c50239929338281efde9574c4faf3c3c5c1c,391,390,390,0
SPXW,20230404,87e285254f8b1f3633dcf4d92cd5d222e8b57cf0c07200c43cce3bd5613fd579,391,390,390,0
SPXW,20230405,65ba60c38772d35754e508bd57aaa479725f1bae4c38a0869a3e135a6270443f,391,390,390,0
SPXW,20230406,56309061e2e6ab1484f04b1d076fc49e2d49b01bd372fb8b8f27d180c81e35ba,391,390,390,0
SPXW,20230410,01f8a37617491f839b2f80bb703537bbebbc2f78c3c2bf0674b10adf3652109b,391,390,390,0
SPXW,20230411,dcc96bb8f18dee21e37d57153b54af98f6b8f10ae2ed8fc65374a8c2239e1068,391,390,390,0
SPXW,20230412,2cf0398116ab3042e1357b54cf653dd6888840c83313288b57f2783e287ab71f,391,390,390,0
SPXW,20230413,e391933fb980e4a8f377473bf1dcc06341730418643ad845fb244192513d0ca5,391,390,390,0
SPXW,20230414,8fcb7d5f20c0fb55ccff3384ca976df736ee333c0ce6bf38bc86ea30a24a86c9,391,390,390,0
SPXW,20230417,6df2a030603f48a0edf94af62af720c4af86d5f75e25dbe49cd0d9d7ebbf8a94,391,390,390,0
SPXW,20230418,b04f3735daf9cd360a5aa535c130e5240f6e6682365e502e3404221f21326d64,391,390,390,0
SPXW,20230419,52b55d8ef1fa1ca551c1d1e23a27bc6b0c035466b699bbd239fb53a26eb9d9ab,391,390,390,0
SPXW,20230420,98236b53b8992a04a4d52ec140276f850752ebd1901ed94d8b8d91331d16e315,391,390,390,0
SPXW,20230421,c38cde9def4387ac9bad6480bccae28af29b916230af50078af5b829dec0c2c6,391,390,390,0
SPXW,20230424,553c1d784a905dcdfe05b1c48fb2e6e5a26cf947c46366a790532fc202d6ac94,391,390,390,0
SPXW,20230425,f02e9a4d786698bb7e3382cd05287f98926248b487e3c469382bdd70756c83f8,391,390,390,0
