ticker,year,month,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2024,202401,qsize_call_local_log_bid_depth_change_15m,127,126,0.007874015748031482,0.0,126,-1.5735690883721816,0.9069137984503026
QQQ,2024,202401,qsize_call_local_log_ask_depth_change_15m,127,126,0.007874015748031482,0.0,126,-1.4672826394566343,1.2111626881103579
QQQ,2024,202401,qsize_call_relative_qimb_change_15m,127,126,0.007874015748031482,0.0,126,-0.8105715456771405,0.759076266654492
QQQ,2024,202401,qsize_call_local_signable_fraction_change_15m,127,126,0.007874015748031482,0.873015873015873,11,-0.15384615384615385,0.04347826086956519
QQQ,2024,202401,qsize_put_local_qimb,127,126,0.007874015748031482,0.05555555555555555,117,-0.7948717948717948,0.8059701492537313
QQQ,2024,202401,qsize_put_local_log_bid_depth,127,126,0.007874015748031482,0.0,126,6.641182169740591,11.636990946891194
QQQ,2024,202401,qsize_put_local_log_ask_depth,127,126,0.007874015748031482,0.0,126,7.467942332285852,11.5835889402213
QQQ,2024,202401,qsize_put_relative_qimb,127,126,0.007874015748031482,0.031746031746031744,121,-0.7948717948717948,0.7434701492537313
QQQ,2024,202401,qsize_put_local_signable_fraction,127,126,0.007874015748031482,0.0,4,0.92,1.0
QQQ,2024,202401,qsize_put_local_qimb_change_1m,127,126,0.007874015748031482,0.0,125,-1.019114219114219,0.9033735790511358
QQQ,2024,202401,qsize_put_local_log_bid_depth_change_1m,127,126,0.007874015748031482,0.0,126,-1.6131311040909662,1.4526222602534347
QQQ,2024,202401,qsize_put_local_log_ask_depth_change_1m,127,126,0.007874015748031482,0.0,126,-2.66871603851889,1.5343597130231075
QQQ,2024,202401,qsize_put_relative_qimb_change_1m,127,126,0.007874015748031482,0.0,125,-1.019114219114219,0.6600019921892443
QQQ,2024,202401,qsize_put_local_signable_fraction_change_1m,127,126,0.007874015748031482,1.0,1,0.0,0.0
QQQ,2024,202401,qsize_put_local_qimb_change_5m,127,126,0.007874015748031482,0.0,124,-1.0143022806339388,0.8599773242630385
QQQ,2024,202401,qsize_put_local_log_bid_depth_change_5m,127,126,0.007874015748031482,0.0,126,-1.9399530848800168,2.7493618716299646
QQQ,2024,202401,qsize_put_local_log_ask_depth_change_5m,127,126,0.007874015748031482,0.0,126,-2.9304901583838303,2.4981290327098513
QQQ,2024,202401,qsize_put_relative_qimb_change_5m,127,126,0.007874015748031482,0.0,124,-0.9915009777023428,0.6600019921892443
QQQ,2024,202401,qsize_put_local_signable_fraction_change_5m,127,126,0.007874015748031482,1.0,1,0.0,0.0
QQQ,2024,202401,qsize_put_local_qimb_change_15m,127,126,0.007874015748031482,0.0,126,-1.068605539879234,1.0345983798700336
