cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,4,0.4,0.5,278,0.4534562442470663,0.49280575539568344
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,5,0.5,0.6000000000000001,264,0.5488872654695842,0.5075757575757576
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,6,0.6000000000000001,0.7000000000000001,144,0.6412657042129093,0.4583333333333333
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,7,0.7000000000000001,0.8,62,0.7353659349939368,0.5161290322580645
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,8,0.8,0.9,11,0.828544026289077,0.6363636363636364
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,1,0.1,0.2,4,0.17077757496296372,0.25
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,2,0.2,0.30000000000000004,65,0.2672764903693338,0.47692307692307695
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,3,0.30000000000000004,0.4,144,0.357684809983568,0.4375
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,4,0.4,0.5,253,0.45226909051106473,0.4743083003952569
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,5,0.5,0.6000000000000001,271,0.5480661744060474,0.46494464944649444
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,6,0.6000000000000001,0.7000000000000001,200,0.6453265024640633,0.555
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,7,0.7000000000000001,0.8,105,0.7402207312185469,0.47619047619047616
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,8,0.8,0.9,15,0.8353993688563043,0.3333333333333333
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F1,2024,QQQ,120,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,1,0.1,0.2,19,0.178293667715739,0.3684210526315789
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,2,0.2,0.30000000000000004,102,0.26083149543774053,0.5588235294117647
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,3,0.30000000000000004,0.4,157,0.3528524805083968,0.46496815286624205
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,4,0.4,0.5,187,0.4511121714007726,0.42780748663101603
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,5,0.5,0.6000000000000001,155,0.5483807298043158,0.45806451612903226
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,6,0.6000000000000001,0.7000000000000001,121,0.6448236353657182,0.48760330578512395
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,7,0.7000000000000001,0.8,68,0.7459450534820325,0.6470588235294118
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,8,0.8,0.9,13,0.8247668714223617,0.46153846153846156
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F0,2024,QQQ,180,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,1,0.1,0.2,7,0.18403085389145618,0.2857142857142857
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,2,0.2,0.30000000000000004,88,0.26123524460133835,0.45454545454545453
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,3,0.30000000000000004,0.4,169,0.35367923671925006,0.4556213017751479
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,4,0.4,0.5,178,0.4499711170780411,0.46629213483146065
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,5,0.5,0.6000000000000001,181,0.5469796482401992,0.4696132596685083
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,6,0.6000000000000001,0.7000000000000001,137,0.6462112509658411,0.5255474452554745
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,7,0.7000000000000001,0.8,51,0.7443081549173363,0.6078431372549019
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,8,0.8,0.9,11,0.8214422333176624,0.6363636363636364
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,F1,2024,QQQ,180,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,1,0.1,0.2,11,0.17863934437099604,0.18181818181818182
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,2,0.2,0.30000000000000004,62,0.2640788550003783,0.24193548387096775
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,3,0.30000000000000004,0.4,162,0.35486453708946114,0.4012345679012346
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,4,0.4,0.5,216,0.4523925853770755,0.4444444444444444
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,5,0.5,0.6000000000000001,205,0.5461759754279354,0.43902439024390244
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,6,0.6000000000000001,0.7000000000000001,121,0.6412566433694075,0.35537190082644626
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,7,0.7000000000000001,0.8,24,0.7427148598181382,0.20833333333333334
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,8,0.8,0.9,1,0.8284103140272308,1.0
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F0,2024,SPY,30,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,1,0.1,0.2,16,0.16533774537723545,0.1875
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,2,0.2,0.30000000000000004,96,0.2601674261911298,0.34375
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,3,0.30000000000000004,0.4,161,0.35321944567415015,0.40372670807453415
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,4,0.4,0.5,216,0.44621831913871346,0.42592592592592593
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,5,0.5,0.6000000000000001,161,0.5450023442492871,0.38509316770186336
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,6,0.6000000000000001,0.7000000000000001,112,0.6440048911736937,0.4107142857142857
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,7,0.7000000000000001,0.8,40,0.735349246816021,0.4
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,8,0.8,0.9,0,,
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,F1,2024,SPY,30,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,1,0.1,0.2,2,0.18464995356856412,0.5
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,2,0.2,0.30000000000000004,42,0.270007555876782,0.35714285714285715
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,3,0.30000000000000004,0.4,193,0.3570682302865819,0.40932642487046633
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,4,0.4,0.5,310,0.44855200265164213,0.43870967741935485
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,F0,2024,SPY,60,5,0.5,0.6000000000000001,253,0.5448096278760269,0.41106719367588934
