kind,trigger_losses,pause_days,trigger_sum,gate_pass,simple_health_pass,all_trades,all_wr,all_pf,all_pnl,all_minM,all_call,all_negM,all_maxNegStreak,all_top5,all_ddpnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_pnl,QQQ_minM,QQQ_call,QQQ_negM,QQQ_maxNegStreak,QQQ_top5,QQQ_ddpnl,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_pnl,SPXW_minM,SPXW_call,SPXW_negM,SPXW_maxNegStreak,SPXW_top5,SPXW_ddpnl,SPY_trades,SPY_wr,SPY_pf,SPY_pnl,SPY_minM,SPY_call,SPY_negM,SPY_maxNegStreak,SPY_top5,SPY_ddpnl
rollsum,0,1,"(5, -1.5)",True,False,1841,0.4937533948940793,1.3799201945594066,72.72872407182024,87,0.4383487235198262,2,5,0.2044416438372019,0.07709796754698454,633,0.5055292259083728,1.359865431911033,21.446958283098212,33,0.4628751974723539,4,8,0.2331332925630004,0.12404548394111994,346,0.49710982658959535,1.4105970839240953,15.36773651131976,19,0.3901734104046243,3,7,0.16267847891317752,0.2224442213078798,862,0.4837587006960557,1.3804184553028136,35.914029277402264,23,0.4396751740139211,4,6,0.2088320400384351,0.10388648849911974
rollsum,0,2,"(5, -1.5)",True,False,1822,0.49451152579582874,1.3843958477950558,72.7587102565785,78,0.43962678375411635,2,5,0.2043573869161712,0.0719583503871815,626,0.5031948881789138,1.3320094204339377,19.667896491180187,24,0.46166134185303515,5,8,0.25422139079500367,0.1294885256731195,346,0.5,1.4241597866316074,15.748110401570383,19,0.3930635838150289,3,7,0.15874920458715497,0.21707138789072195,850,0.4858823529411765,1.4019063677521957,37.34270336382792,23,0.4423529411764706,3,5,0.2008424491105507,0.09297210025437823
rollsum,0,3,"(5, -1.5)",True,False,1805,0.4936288088642659,1.3741999044626871,70.61667801647279,84,0.4376731301939058,2,5,0.21053895014401275,0.07493217644252706,625,0.5056,1.3461595337933017,20.46896390397194,29,0.4624,4,8,0.24427225644917794,0.16134929060425868,345,0.4985507246376812,1.4219949953474382,15.667736511319761,19,0.391304347826087,3,7,0.15956357181484246,0.21818494197010502,835,0.48263473053892214,1.3729403236564641,34.479977601181076,23,0.43832335329341315,4,5,0.2175175426953611,0.09904899004515565
rollsum,0,1,"(5, -1.0)",False,False,1767,0.49632144878324846,1.3806495113375603,69.8157997660971,75,0.4442558007923033,1,6,0.2129541064065233,0.0759145401448265,609,0.5073891625615764,1.3484624936350835,19.87057827539535,31,0.4663382594417077,5,8,0.25162830848215556,0.1661927688496321,336,0.49404761904761907,1.4206650422457985,15.269332830261261,14,0.39285714285714285,3,6,0.16372686533136657,0.20609044740307697,822,0.48905109489051096,1.3849000311148099,34.67588866044049,23,0.4489051094890511,5,7,0.21628861695349344,0.09276569005993984
rollsum,0,2,"(5, -1.0)",False,False,1589,0.48332284455632474,1.3321867976448765,56.4349237624363,61,0.4354940213971051,3,7,0.26112095442361244,0.10564520471377943,557,0.5008976660682226,1.3364321116452496,17.660452141454293,16,0.45601436265709155,6,8,0.2831184592530066,0.15675848888481286,328,0.5,1.4393422101106654,15.357450817086043,10,0.39939024390243905,3,5,0.1627874332645498,0.20551891067299743,704,0.4616477272727273,1.284048542779603,23.417020803895962,19,0.43607954545454547,8,7,0.3202798538212086,0.22335087269068662
rollsum,0,3,"(5, -1.0)",False,False,1609,0.49658172778123055,1.4280655205841606,70.21771524517399,54,0.454319453076445,1,5,0.20405311324558956,0.07511011234686525,556,0.5053956834532374,1.391597997375022,19.917982088252757,21,0.47302158273381295,5,8,0.25102944554553563,0.1248662269280762,330,0.503030303030303,1.4947908245732895,17.069332830261263,10,0.396969696969697,2,5,0.14646149470867953,0.1140562231631895,723,0.48686030428769017,1.422383372688286,33.230400326659975,13,0.4661134163208852,3,5,0.2256969499697217,0.09287707499322638
rollsum,0,1,"(5, -0.5)",False,False,1615,0.491640866873065,1.3799250363127518,64.75080485477395,72,0.44643962848297214,2,6,0.22963081210764225,0.08215878059044476,545,0.5100917431192661,1.3729483640973676,19.28886197955445,25,0.46238532110091746,6,7,0.25921695148733154,0.14088046344915314,316,0.49050632911392406,1.3808571855857485,12.988346853551173,12,0.40822784810126583,4,7,0.19248023079368792,0.2543557263499339,754,0.47877984084880637,1.3838140945452744,32.473596021668314,19,0.4509283819628647,3,6,0.2309568670804291,0.12616681904321253
rollsum,0,2,"(5, -0.5)",False,False,1409,0.49609652235628104,1.3911425237622062,58.900828226415506,36,0.44215755855216465,3,8,0.24325877635697227,0.1025293421862294,457,0.5076586433260394,1.3535100670213482,15.485571069690003,16,0.44638949671772427,7,7,0.3228812148740532,0.19853826992764442,296,0.5033783783783784,1.423901358429091,13.488107595856203,11,0.41216216216216217,6,7,0.18534846213475095,0.16901573206877174,656,0.4847560975609756,1.3992284886892061,29.927149560869296,9,0.4527439024390244,5,9,0.25060856479985283,0.14073136637509218
rollsum,0,3,"(5, -0.5)",False,False,1245,0.4891566265060241,1.3757278956064969,49.55487148783121,42,0.45140562248995986,2,10,0.2607120616336681,0.08125255827493937,398,0.5,1.3597469077137099,13.314163530915996,10,0.4296482412060301,7,9,0.3755399269649805,0.3265091994669279,246,0.491869918699187,1.3145189205042718,8.536575480449816,5,0.45934959349593496,7,9,0.29285748198741024,0.5432372550790533,601,0.480865224625624,1.4089845777338112,27.7041324764654,7,0.46256239600665555,4,5,0.27071773521048653,0.11169398246657365
rollsum,0,1,"(5, 0.0)",False,False,1363,0.48642699926632427,1.310921935201528,45.16316585220408,60,0.4570799706529714,4,5,0.3157474362245133,0.18421698159611935,466,0.5085836909871244,1.3804432294547846,16.937638427238234,20,0.44849785407725323,5,6,0.29520053940691393,0.1586499327468236,240,0.4708333333333333,1.1523155100129523,4.241576282961063,11,0.44583333333333336,6,10,0.5894035219978973,0.8695322242257446,657,0.4764079147640791,1.3290542177690965,23.983951142004777,14,0.4672754946727549,4,8,0.31270910933706514,0.25873075111317817
rollsum,0,2,"(5, 0.0)",False,False,1140,0.48771929824561405,1.3902990568949003,46.61528999284131,34,0.4280701754385965,3,6,0.27519175366580495,0.09957086070781655,369,0.5067750677506775,1.3277684342107483,11.475385300872986,13,0.42005420054200543,8,7,0.4357152173025185,0.23880765236852886,210,0.5,1.4740649595650475,10.54358906514514,8,0.4,4,5,0.2371109101989253,0.20103459046563268,561,0.47058823529411764,1.3955450926466493,24.596315626823195,11,0.44385026737967914,7,4,0.3049237175921166,0.1549039821948442
rollsum,0,3,"(5, 0.0)",False,False,825,0.4593939393939394,1.1706408553123677,16.19953055831161,33,0.4351515151515152,7,6,0.6538826874791838,0.5035475353756577,270,0.4703703703703704,1.0702209163839367,1.9900335414694557,7,0.4185185185185185,8,8,2.2820391469728656,1.5542564699124044,163,0.48466257668711654,1.303783541398285,5.5642986237304415,5,0.43558282208588955,7,6,0.4492929242399178,0.482744087679546,392,0.4413265306122449,1.1790740957622985,8.64519839311171,7,0.44642857142857145,7,7,0.8593000380551724,0.8149203407046312
rollsum,0,1,"(8, -1.5)",False,False,1805,0.4936288088642659,1.3876341026954941,72.91243520890956,86,0.4409972299168975,2,6,0.20392652996464875,0.06797491366364428,626,0.5015974440894568,1.3438027886993256,20.489219736885026,32,0.46325878594249204,4,8,0.24403076662792184,0.154182917351638,339,0.49852507374631266,1.4356052524186096,15.781010387428505,15,0.39823008849557523,3,6,0.1584182469071533,0.19043079192257895,840,0.4857142857142857,1.3971090518148015,36.64220508459603,23,0.44166666666666665,3,6,0.20468200488165805,0.08386987751025544
