path,dir,file,ticker,window,v_trades,v_wr,v_pf,v_r,v_min_month,v_pos_months,v_call_rate,t_trades,t_wr,t_pf,t_r,t_min_month,t_pos_months,t_call_rate
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d65_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d65_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,38,0.4473684210526316,1.4146253621239924,2.4913419993844474,0,1,0.42105263157894735,214,0.4439252336448598,1.2960668273715856,10.489272294274976,13,6,0.3691588785046729
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d80_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d80_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,137,0.43795620437956206,1.280254827571793,6.132205643346982,0,2,0.19708029197080293,298,0.43288590604026844,1.1165409031197542,5.54244885472529,0,4,0.46308724832214765
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d80_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d80_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,30,0.6333333333333333,2.6726778446782977,5.519836887438382,0,1,0.6333333333333333,298,0.43288590604026844,1.1165409031197542,5.54244885472529,0,4,0.46308724832214765
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,195,0.3333333333333333,0.8113598459554628,-7.3515007440308935,15,2,0.26666666666666666,181,0.4088397790055249,1.1396177822089852,4.481730808908419,0,3,0.5027624309392266
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,91,0.38461538461538464,0.9892575807038981,-0.1804726441745128,22,1,0.18681318681318682,181,0.4088397790055249,1.1396177822089852,4.481730808908419,0,3,0.5027624309392266
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,187,0.3155080213903743,0.7233020956159917,-9.471875883765744,0,1,0.32620320855614976,142,0.38028169014084506,0.9336627609930614,-1.6857769973705186,0,3,0.8028169014084507
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,20,0.3,0.7142857142857144,-1.2,0,0,0.0,142,0.38028169014084506,0.9336627609930614,-1.6857769973705186,0,3,0.8028169014084507
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,158,0.37341772151898733,1.0003728244208185,0.009550816670139461,0,2,0.3670886075949367,200,0.4,0.9810036284897029,-0.6676048709111932,18,3,0.605
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,0,,,0.0,0,0,,200,0.4,0.9810036284897029,-0.6676048709111932,18,3,0.605
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,h2,94,0.3617021276595745,0.7656457635806686,-2.831036317325109,0,0,0.7446808510638298,64,0.546875,1.7821801456247839,4.151639894579503,0,2,0.53125
