sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"ptdj35,cons22,struct",5,0.2,True,True,246,0.4796747967479675,1.3526663607949405,81,11.655867279016647,0.5487804878048781,344,0.4883720930232558,1.6798452783104905,58,33.424734731667755,0.5261627906976745,True,2.6286054186478776
"struct,cons22,ptdj35",5,0.2,True,True,246,0.4796747967479675,1.3557158087612444,81,11.756653644604192,0.5487804878048781,344,0.4883720930232558,1.6740731765018426,58,33.14094814381693,0.5261627906976745,True,2.6258827648055334
"ptdj35,ptdj80,cons22",5,-999999.0,True,True,279,0.5017921146953405,1.3115010308411725,83,10.497707103231688,0.5304659498207885,423,0.49645390070921985,1.3083083828399404,73,15.254087759987609,0.5224586288416075,True,2.6163014444902335
"cons22,ptdj35,ptdj80",5,-999999.0,True,True,279,0.4982078853046595,1.3006113197681228,83,10.166908725957088,0.5304659498207885,423,0.5011820330969267,1.313385666463048,73,15.470474792263147,0.5200945626477541,True,2.612776823034343
"topk,ptdj35,cons32",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,356,0.48314606741573035,1.6321742985911492,62,31.51500673413638,0.5224719101123596,True,2.6026845382419355
"ptdj35,topk,cons32",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,356,0.48314606741573035,1.6321742985911492,62,31.51500673413638,0.5224719101123596,True,2.6026845382419355
"cons22,struct,ptdj35",5,0.2,True,True,246,0.47560975609756095,1.3326838607096065,81,11.035482046640428,0.5487804878048781,344,0.4883720930232558,1.6820307642940984,58,33.37354582860044,0.5261627906976745,True,2.6026783232453385
"cons22,ptdj35,struct",5,0.2,True,True,246,0.47560975609756095,1.3326838607096065,81,11.035482046640428,0.5487804878048781,344,0.4883720930232558,1.6820307642940984,58,33.37354582860044,0.5261627906976745,True,2.6026783232453385
"ptdj35,cons32,topk",5,0.2,True,True,248,0.47580645161290325,1.3295913995555617,80,11.022064114280024,0.5403225806451613,356,0.48314606741573035,1.6321742985911492,62,31.51500673413638,0.5224719101123596,True,2.599670736203978
"topk,cons32,ptdj35",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,356,0.48314606741573035,1.626481690347793,62,31.231220146285555,0.5224719101123596,True,2.5969919299985795
"cons32,topk,ptdj35",5,0.2,True,True,248,0.4717741935483871,1.309924411946295,80,10.401678881903809,0.5403225806451613,356,0.48314606741573035,1.6341060796698186,62,31.463817831069065,0.5224719101123596,True,2.5738710135443483
"cons32,ptdj35,topk",5,0.2,True,True,248,0.4717741935483871,1.309924411946295,80,10.401678881903809,0.5403225806451613,356,0.48314606741573035,1.6341060796698186,62,31.463817831069065,0.5224719101123596,True,2.5738710135443483
"topk,ptdj35,cons32",5,0.0,True,True,254,0.48031496062992124,1.3288409288010938,80,11.188879346295067,0.5393700787401575,405,0.49382716049382713,1.4394426392273667,68,23.55066698627077,0.5135802469135803,True,2.556567810275957
"topk,cons32,ptdj35",5,0.0,True,True,254,0.48031496062992124,1.3288409288010938,80,11.188879346295067,0.5393700787401575,405,0.49382716049382713,1.4326933388690541,68,23.18895760502273,0.5135802469135803,True,2.5498185099176442
"struct,ptdj35,cons32",5,0.2,True,True,249,0.4738955823293173,1.3207568734973878,81,10.822850479867569,0.5381526104417671,360,0.4777777777777778,1.5843886569936756,62,30.01146230507223,0.5194444444444445,True,2.5484922507052534
"ptdj35,struct,cons32",5,0.2,True,True,249,0.4738955823293173,1.3207568734973878,81,10.822850479867569,0.5381526104417671,360,0.4777777777777778,1.5843886569936756,62,30.01146230507223,0.5194444444444445,True,2.5484922507052534
"ptdj35,cons32,struct",5,0.2,True,True,249,0.4738955823293173,1.3177698674792264,81,10.722064114280027,0.5381526104417671,360,0.4777777777777778,1.5843886569936756,62,30.01146230507223,0.5194444444444445,True,2.545505244687092
"struct,cons32,ptdj35",5,0.2,True,True,249,0.4738955823293173,1.3207568734973878,81,10.822850479867572,0.5381526104417671,360,0.4777777777777778,1.578862712897345,62,29.727675717221402,0.5194444444444445,True,2.542966306608923
"wconly,ptdj35,cons22",5,0.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,378,0.5,1.5668080307521035,58,28.601439359784585,0.5264550264550265,True,2.5371692538192034
"ptdj35,wconly,cons22",5,0.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,378,0.5,1.5668080307521035,58,28.601439359784585,0.5264550264550265,True,2.5371692538192034
