path,all_metric_pass,hold_proven,hold_issue,raw_banned_cols,feature_banned,feature_count,research_audit,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_min_month,SPXW_pos_month,SPXW_pnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_min_month,QQQ_pos_month,QQQ_pnl,SPY_trades,SPY_wr,SPY_pf,SPY_min_month,SPY_pos_month,SPY_pnl
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2025_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,306,0.41830065359477125,1.2027045344722622,0,0.3333333333333333,10.786597900304132,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2025_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,288,0.4027777777777778,1.1301305290647063,0,0.5,6.678494644330435
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,134,0.373134328358209,0.9920634920634921,0,0.3333333333333333,-0.19999999999999973,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_2025_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,226,0.4247787610619469,1.2366862321604146,0,0.3333333333333333,9.186597900304136,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_2025_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,176,0.42613636363636365,1.2491045853874254,0,0.5,7.478494644330435
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_maxday2plus_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,154,0.4090909090909091,1.153846153846154,0,0.3333333333333333,4.199999999999999,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_maxday2plus_2025_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,207,0.4396135265700483,1.3145197305063467,0,0.3333333333333333,10.886597900304134,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d50_physctx_maxday2plus_2025_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,174,0.4425287356321839,1.335808089303238,0,0.5,9.678494644330435
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d65_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,95,0.4,1.104306183650087,0,0.5,1.762983120828527,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d65_physctx_2025_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,208,0.4230769230769231,1.230424928051484,0,0.5,8.210675832520648,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d65_physctx_2025_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,196,0.4336734693877551,1.2635299331969128,0,0.5,8.584767132434232
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d80_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,178,0.3146067415730337,0.7274825409829455,0,0.0,-9.775473775130411,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d80_physctx_2025_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,206,0.32038834951456313,0.7207233494484805,0,0.16666666666666666,-11.483114071227643,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedvol_d80_physctx_2025_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,234,0.36752136752136755,0.8697827270559098,0,0.3333333333333333,-5.666970774961483
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthrloose_d50_monthly_backfill18_2025_2026_qqq_v1\monthly_volume_backfill_trades.csv,False,False,missing,2,0,0,missing,0,,,0,0.0,0.0,97,0.41237113402061853,1.1695906432748537,0,0.3333333333333333,2.9,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthrloose_d50_monthly_backfill18_2025_2026_spxw_v1\monthly_volume_backfill_trades.csv,False,False,missing,2,0,0,missing,122,0.5081967213114754,1.7222222222222219,0,0.6666666666666666,13.0,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthrloose_d50_monthly_backfill18_2025_2026_spy_v1\monthly_volume_backfill_trades.csv,False,False,missing,2,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,119,0.4957983193277311,1.6388888888888886,0,0.5,11.499999999999998
