sources,cap,min_score,daily_order,select_pass,test2025_pass,test2026_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d80,d80_zero,cons_m3allc30",4,0.0,score_desc,False,False,True,462,0.42857142857142855,1.0371537781484903,2.5768044004389523,60,0.16017316017316016,3.840381024236127,0.5,718,0.4610027855153203,1.1457458926018496,13.64260070663842,24,0.37047353760445684,0.7045152503298452,0.6666666666666666,310,0.4967741935483871,1.3848103804349907,12.420683033749414,46,0.5451612903225806,0.5745230574899447,0.8
"d80,d80_zero,cons_m3allc30",5,-999999.0,time_asc,False,False,False,535,0.4336448598130841,1.076603264177434,6.063476064191585,60,0.17570093457943925,1.8576950757856217,0.8333333333333334,922,0.4566160520607375,1.111877489488881,13.469644820829519,33,0.43275488069414314,0.8179135050246595,0.75,390,0.48205128205128206,1.258783697782441,11.310114870281833,56,0.5820512820512821,0.7162464511245452,0.8
"d80,d80_zero,cons_m3allc30",5,-999999.0,score_desc,False,False,True,535,0.41869158878504675,1.0073923762133745,0.602850905414333,60,0.16261682242990655,18.836857535855046,0.5,922,0.4544468546637744,1.099309330267341,12.331293883560294,33,0.41431670281995664,0.9141307408525586,0.5833333333333334,390,0.49230769230769234,1.3353927205962297,14.01472417500594,56,0.5794871794871795,0.5478989404719481,0.8
"d80,d80_zero,cons_m3allc30",5,0.0,time_asc,False,False,False,528,0.4375,1.0803612872655495,6.306736965612822,60,0.17045454545454544,1.7860408144512119,0.8333333333333334,799,0.4518147684605757,1.0921579837703523,9.698440278207803,24,0.37546933667083854,1.1217416799711268,0.6666666666666666,331,0.48036253776435045,1.2547506395746602,9.10839558854183,46,0.56797583081571,0.8982336541812237,0.8
"d80,d80_zero,cons_m3allc30",5,0.0,score_desc,False,False,True,528,0.42045454545454547,1.0092808511772302,0.7507859515476385,60,0.1571969696969697,15.125238554667432,0.5,799,0.45807259073842305,1.129091054166052,13.56587311530847,24,0.3704630788485607,0.8043964963652622,0.6666666666666666,331,0.4984894259818731,1.36836308321596,12.60170563211647,46,0.5589123867069486,0.6168042718521033,0.8
"d80,d80_zero,cons_m3s2c30",1,-999999.0,time_asc,False,False,False,128,0.4453125,1.0952509151987724,1.8704724739731866,20,0.1875,1.3365607004574598,0.6666666666666666,249,0.4457831325301205,1.1517504280500057,4.816146387327658,19,0.4578313253012048,0.5190872118376739,0.6666666666666666,102,0.46078431372549017,1.1604976971765801,1.870508927469335,19,0.6666666666666666,1.3365346528350022,0.6
"d80,d80_zero,cons_m3s2c30",1,-999999.0,score_desc,False,False,True,128,0.5078125,1.4479286567103475,6.380180163548497,20,0.1875,0.3918384647322502,0.8333333333333334,249,0.4819277108433735,1.2645581971338666,7.762741427448923,19,0.3453815261044177,0.32205117526651633,0.6666666666666666,102,0.5098039215686274,1.757755177086155,6.843638099443298,19,0.5294117647058824,0.36530277663328875,1.0
"d80,d80_zero,cons_m3s2c30",1,0.0,time_asc,False,False,True,128,0.4453125,1.0952509151987724,1.8704724739731866,20,0.1875,1.3365607004574598,0.6666666666666666,245,0.45714285714285713,1.2406946663674772,7.457816692081429,19,0.3673469387755102,0.3352187514416188,0.6666666666666666,100,0.53,1.7138040347429373,6.7399424075908465,19,0.6,0.370923050794081,0.6
"d80,d80_zero,cons_m3s2c30",1,0.0,score_desc,False,False,True,128,0.5078125,1.4479286567103475,6.380180163548497,20,0.1875,0.3918384647322502,0.8333333333333334,245,0.4857142857142857,1.2819724256273008,8.148074493639653,19,0.33877551020408164,0.3068209553007263,0.75,100,0.51,1.7723439072293667,6.886247761624261,19,0.53,0.36304241243424623,1.0
"d80,d80_zero,cons_m3s2c30",2,-999999.0,time_asc,False,False,True,251,0.4342629482071713,1.0495056373253353,1.8879591461058323,36,0.18725099601593626,2.6483623919051253,0.5,469,0.4669509594882729,1.2482232900276369,14.329847258307627,31,0.42857142857142855,0.34892207222245764,0.5833333333333334,199,0.5125628140703518,1.555255215282524,11.092979242243342,37,0.6432160804020101,0.4451447497162126,1.0
