ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,source_backfill_dir,pnl
SPY,20260618,202606,11:00,660,zero_dte,PUT,0.5146097897879295,0.2600401797199073,0.5146097897879295,-0.3,0.5,0.5,thr0.483_maxday3,202606,660,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,93,0,12,21,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260622,202606,10:00,600,zero_dte,PUT,0.6285395862541636,0.153578845148554,0.6285395862541636,-0.3,-0.3,-0.3,thr0.483_maxday3,202606,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,94,0,14,22,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260623,202606,10:00,600,zero_dte,CALL,0.5348745698912284,0.5348745698912284,0.2674270626376331,0.5,-0.3,0.5,thr0.483_maxday3,202606,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,95,0,14,23,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260623,202606,12:45,765,zero_dte,PUT,0.4881012244090592,0.3027916613422237,0.4881012244090592,-0.3,-0.3,-0.3,thr0.483_maxday3,202606,765,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,96,0,14,24,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260623,202606,13:30,810,zero_dte,PUT,0.5171285303481046,0.349675090584095,0.5171285303481046,-0.3,-0.3,-0.3,thr0.483_maxday3,202606,810,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,97,0,14,25,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260624,202606,10:00,600,zero_dte,CALL,0.5101055033830736,0.5101055033830736,0.3372920101916983,-0.3,0.5,-0.3,thr0.483_maxday3,202606,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,98,0,15,26,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260624,202606,10:30,630,zero_dte,PUT,0.5721139966135522,0.2888125358164325,0.5721139966135522,-0.3,-0.3,-0.3,thr0.483_maxday3,202606,630,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,99,0,15,27,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260624,202606,12:30,750,zero_dte,PUT,0.5703960903229036,0.2992356520844422,0.5703960903229036,-0.3,0.5,0.5,thr0.483_maxday3,202606,750,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,100,0,15,28,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260625,202606,12:00,720,zero_dte,PUT,0.4999541577352729,0.2746599962344916,0.4999541577352729,0.5,-0.3,-0.3,thr0.483_maxday3,202606,720,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,101,0,16,29,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260625,202606,12:30,750,zero_dte,PUT,0.5087714860534465,0.2373840717956055,0.5087714860534465,-0.3,0.5,0.5,thr0.483_maxday3,202606,750,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,102,0,16,30,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
