ticker,trade_date,expiration,role,kind,path,size_bytes,sha256
QQQ,20230125,20230127,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230125_greeks.parquet,2593631,17a89ddf6b63790feea1e08a228105ea115935e254909e0bbc640a156621c66b
QQQ,20230125,20230127,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230125_iv.parquet,1023317,1c6fbc4c5d183c2da403a351c82ee4f014a132fe54af4164a14f41489583eff8
QQQ,20230125,20230125,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230125_20230125_greeks.parquet,1376247,c6dfd73df11bcfc1af272c3831c6af7e274c972eca7bb7d8c4a86afd4d1da33d
QQQ,20230125,20230125,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230125_20230125_iv.parquet,718818,86018aad34b380bd15e2358bb28cfef9105b7721fff1edcfac3bd14089d42371
QQQ,20230125,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230125.parquet,14026,f9e1b8cbc641463902e9a39f0d5c48bd403ee550d80ef33d6a902e0fbc381f69
QQQ,20230126,20230127,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230126_greeks.parquet,2078318,9e0fdce25fa68cd768276abf4c047aacea1001553c3319a1111ed50d0879773d
QQQ,20230126,20230127,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230126_iv.parquet,941274,71a668f7816990e9d426e22ccedea6519c97b16683d499ee5896ae2bee7f24e0
QQQ,20230126,20230126,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230126_20230126_greeks.parquet,1346240,0c4154cbd0365280d925d0e5846e6d4dddcd5f8d9548d0025d76b5ef8ce49dcc
QQQ,20230126,20230126,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230126_20230126_iv.parquet,710710,49615190bc6e4be56ab80eec90a532aeb0a7753eb3ed6d85cd3c57ac566e934d
QQQ,20230126,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230126.parquet,13338,3157bff7030790cd0d3f8c9691bcb2ffbc5323f5fd315dfacc593f6ca8c88e4c
QQQ,20230127,20230203,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230203_20230127_greeks.parquet,2978530,fec41179dac7c0cefb14b1d308aa2d6b407a0b6bf3987685926f37cbff70e2c1
QQQ,20230127,20230203,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230203_20230127_iv.parquet,1118424,b6445d735251c1e05bcd765da1fd741eb85b71a26a512d20a2e7e80372535234
QQQ,20230127,20230127,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230127_greeks.parquet,1651474,f7b53ec36b7bc6494e3c90a763b8d3990bd8f4581653c34c03bab5998eaad055
QQQ,20230127,20230127,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230127_iv.parquet,925854,0661e3bf5a805dc780488d9948111b5991fc8f59ee347867e618d5dd5ef7c87a
QQQ,20230127,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230127.parquet,13899,97f5072184feb565e415f0046caaaf7dc43bda227c4311492e0b449512e5b0e3
QQQ,20230130,20230203,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230203_20230130_greeks.parquet,3044588,5ca20e283e4ced5a26edda3c84814e0d86a731731a3dc135dfcaca31e847242a
QQQ,20230130,20230203,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230203_20230130_iv.parquet,1072202,58fed4def0c8ff6c933f3ffa643e07cc0fd526c418c4901eb9b7a59c7a041b12
QQQ,20230130,20230130,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230130_20230130_greeks.parquet,1418826,b964db434a637845f036567ff1589fb3d0d647a4ed518f672fbdfb375346ac3b
QQQ,20230130,20230130,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230130_20230130_iv.parquet,725807,a96b0d93835e6feead7bbf0b37ef2dd6b8d1d02bb21b5d70df96b21a990870b8
QQQ,20230130,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230130.parquet,12997,40fdfc552ef294507c7f4afad03a024ddcaded63c614aa2ea15abb969132567c
QQQ,20230131,20230203,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230203_20230131_greeks.parquet,2815143,53d488a038f8e082f516f484d2383ba0d5b904e7406cb68837de5b2674071099
QQQ,20230131,20230203,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230203_20230131_iv.parquet,1007673,a0393904431135e91163a89c5e5da12d99e486356d2b49998f8ce986cabd2b73
QQQ,20230131,20230131,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230131_20230131_greeks.parquet,1366926,0311ef0e15bb33d4446f2193b048ef1d23722aebe4e12ed7ad05bff604b7b6ce
QQQ,20230131,20230131,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230131_20230131_iv.parquet,718988,2f0c75a5ab9b6a08fe59948e57fcaad68dbdbe11def27fef5428e7ea276a91ab
QQQ,20230131,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230131.parquet,12398,d469e28c98af4047e27d17d60c3caf43ef353c705c6fbfb72469c6634aa9236e
QQQ,20230201,20230203,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230203_20230201_greeks.parquet,2763867,72a08136a8d4da47bd6f80c642a45476db105774f2ba27d1560692bef5e42de7
QQQ,20230201,20230203,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230203_20230201_iv.parquet,1061218,3602fdc20c615994c172d729b7e880d26702ccf7fc2c174a7d41dccae1129539
QQQ,20230201,20230201,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230201_20230201_greeks.parquet,1650869,4211f4e5aecefa5337083beb9c8926b844ba991069d9b786e5b7ffc2cf93da11
QQQ,20230201,20230201,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230201_20230201_iv.parquet,819422,0e48bb4eed05aa9dfe1d19e4818f1fc743424550b8f7a09154c01ba9a859434f
QQQ,20230201,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230201.parquet,12943,e89063b8b8c118f8e60373ad5483e62f08bffc490002e06270a522b466a0dfd2
QQQ,20230202,20230203,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230203_20230202_greeks.parquet,2334915,6e6d2830c15fcf1f0726f96c04ad880eec4f138d38f0f662462fc688eaaa9618
QQQ,20230202,20230203,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230203_20230202_iv.parquet,1063811,0d765288632a630ccb7b30a72fbd936eb83b16b45ae564526323f0fc8a7ce519
QQQ,20230202,20230202,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230202_20230202_greeks.parquet,1610995,264ac302c64d6aa80b5f58f08bd6afbdb8337992ed664e1e2065efbd6f093a5e
QQQ,20230202,20230202,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230202_20230202_iv.parquet,875794,f68f853401c01b8ef1e621c4a59c159b32317ad54b41a1be6800562435ac4824
QQQ,20230202,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230202.parquet,13624,b84a537c50380f9b4799833b80eb4fd100a7083f97ca7af20ce1683374302bcc
QQQ,20230203,20230210,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230210_20230203_greeks.parquet,3098468,8e1cf49fbaba6d6c4e3e8e2d76c538acf25efdbcab487852e0083ea0e42326ca
QQQ,20230203,20230210,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230210_20230203_iv.parquet,1232303,038dbb508185534c86132c10425e3aa3c09c3086e1931c649871ad182d49a55a
QQQ,20230203,20230203,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230203_20230203_greeks.parquet,1706416,b25eb6844e3ec15dacfabcae37df0edc9cb78fdba7677f7a4fdf058f3303b7f2
QQQ,20230203,20230203,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230203_20230203_iv.parquet,967638,65bc7f380c233a6e2123bffa17e2fab7ef26ce789fe44e1a2851d10fe28be59c
QQQ,20230203,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230203.parquet,13961,76146ad42fa4ac45dac2bfb456c7a78c0acbb3c77b6f1b11879c82f9dfe85976
QQQ,20230206,20230210,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230210_20230206_greeks.parquet,3039702,359e9e42289a0def5ebcf9522a9aac92ba082eee34c3d833434b91a801e909fa
QQQ,20230206,20230210,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230210_20230206_iv.parquet,1099188,bdacd82558a0bdcbcb6966ce6d8719db3facda1c2fe39ec3e5d04ced1493efc4
QQQ,20230206,20230206,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230206_20230206_greeks.parquet,1445223,b7edbbc365bb238d8f77a5231f32e037a26b1141d84a303937738552e28e2443
QQQ,20230206,20230206,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230206_20230206_iv.parquet,755923,8c6b7896e524e8c6672688867683540b67c41a45010e48f23f22214b4e3a84b2
QQQ,20230206,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230206.parquet,12646,9d36f678c6df2db5cb2d61da100ec5935c6d0001bc7dee24441fc1e78b4bf9de
QQQ,20230207,20230210,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230210_20230207_greeks.parquet,2938873,b4df83a5f8904fb4af09d4fa2ad8eb71255432898a413d27b2cf378a4f6676b1
QQQ,20230207,20230210,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230210_20230207_iv.parquet,1168928,b5dfb9d8b5a3b99f5b12450e024ca57817e5a3771f91963af85296991b610e18
QQQ,20230207,20230207,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\02\QQQ_20230207_20230207_greeks.parquet,1669659,93082d53c365e750008df377ca1ec230c17ed64794744a492b13612f5379d6c8
QQQ,20230207,20230207,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\02\QQQ_20230207_20230207_iv.parquet,844667,21c7a9924249005aacf78d16248ac8a1c03f535723daf0f0239bb049812f66c9
QQQ,20230207,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230207.parquet,14094,947f2e64050df30ec89719c129e7d7a458e5b7a3415a08be137600aeee41d76f
